"Index"
"(B3 - B1) - (B3 - B1)"
"(B3 - B1) - (B3) * (B1)"
"(B3 - B1) - (B3) / (B1)"
"(B3 - B1) * (B3 + B1)"
"(B3 - B1) * (B3 - B1)"
"(B3 - B1) * (B3) * (B1)"
"(B3 - B1) * (B3) / (B1)"
"(B3 - B1) / (B3 + B1)"
"(B3 - B1) / (B3 - B1)"
"(B3 - B1) / (B3) * (B1)"
"(B3 - B1) / (B3) / (B1)"
"(B3) * (B1)"
"B3 * (B1 + B3) + B1"
"B3 * (B1 + B3) - B1"
"B3 * (B1 + B3) * B1"
"B3 * (B1 + B3) / B1"
"B3 * (B1 - B3) + B1"
"B3 * (B1 - B3) - B1"
"B3 * (B1 - B3) * B1"
"B3 * (B1 - B3) / B1"
"(B3) * (B1) * (B3 + B1)"
"(B3) * (B1) * (B3 - B1)"
"(B3) * (B1) * (B3) * (B1)"
"(B3) * (B1) * (B3) / (B1)"
"(B3) * (B1) / (B3 + B1)"
"(B3) * (B1) / (B3 - B1)"
"(B3) * (B1) / (B3) * (B1)"
"(B3) * (B1) / (B3) / (B1)"
"(B3) / (B1)"
"B3 / (B1 + B3) + B1"
"B3 / (B1 + B3) - B1"
"B3 / (B1 + B3) * B1"
"B3 / (B1 + B3) / B1"
"B3 / (B1 - B3) + B1"
"B3 / (B1 - B3) - B1"
"B3 / (B1 - B3) * B1"
"B3 / (B1 - B3) / B1"
"(B3) / (B1) * (B3 + B1)"
"(B3) / (B1) * (B3 - B1)"
"(B3) / (B1) * (B3) * (B1)"
"(B3) / (B1) * (B3) / (B1)"
"(B3) / (B1) / (B3 + B1)"
"(B3) / (B1) / (B3 - B1)"
"(B3) / (B1) / (B3) * (B1)"
"(B3) / (B1) / (B3) / (B1)"
"(B1 + B4)"
"(B1 + B4) + (B1 + B4)"
"(B1 + B4) + (B1 - B4)"
"(B1 + B4) + (B1) * (B4)"
"(B1 + B4) + (B1) / (B4)"
"(B1 + B4) - (B1 + B4)"
"(B1 + B4) - (B1 - B4)"
"(B1 + B4) - (B1) * (B4)"
"(B1 + B4) - (B1) / (B4)"
"(B1 + B4) * (B1 + B4)"
"(B1 + B4) * (B1 - B4)"
"(B1 + B4) * (B1) * (B4)"
"(B1 + B4) * (B1) / (B4)"
"(B1 + B4) / (B1 + B4)"
"(B1 + B4) / (B1 - B4)"
"(B1 + B4) / (B1) * (B4)"
"(B1 + B4) / (B1) / (B4)"
"(B1 - B4)"
"(B1 - B4) + (B1 + B4)"
"(B1 - B4) + (B1 - B4)"
"(B1 - B4) + (B1) * (B4)"
"(B1 - B4) + (B1) / (B4)"
"(B1 - B4) - (B1 + B4)"
"(B1 - B4) - (B1 - B4)"
"(B1 - B4) - (B1) * (B4)"
"(B1 - B4) - (B1) / (B4)"
"(B1 - B4) * (B1 + B4)"
"(B1 - B4) * (B1 - B4)"
"(B1 - B4) * (B1) * (B4)"
"(B1 - B4) * (B1) / (B4)"
"(B1 - B4) / (B1 + B4)"
"(B1 - B4) / (B1 - B4)"
"(B1 - B4) / (B1) * (B4)"
"(B1 - B4) / (B1) / (B4)"
"(B1) * (B4)"
"B1 * (B4 + B1) + B4"
"B1 * (B4 + B1) - B4"
"B1 * (B4 + B1) * B4"
"B1 * (B4 + B1) / B4"
"B1 * (B4 - B1) + B4"
"B1 * (B4 - B1) - B4"
"B1 * (B4 - B1) * B4"
"B1 * (B4 - B1) / B4"
"(B1) * (B4) * (B1 + B4)"
"(B1) * (B4) * (B1 - B4)"
"(B1) * (B4) * (B1) * (B4)"
"(B1) * (B4) * (B1) / (B4)"
"(B1) * (B4) / (B1 + B4)"
"(B1) * (B4) / (B1 - B4)"
"(B1) * (B4) / (B1) * (B4)"
"(B1) * (B4) / (B1) / (B4)"
"(B1) / (B4)"
"B1 / (B4 + B1) + B4"
"B1 / (B4 + B1) - B4"
"B1 / (B4 + B1) * B4"
"B1 / (B4 + B1) / B4"
"B1 / (B4 - B1) + B4"
"B1 / (B4 - B1) - B4"
"B1 / (B4 - B1) * B4"
"B1 / (B4 - B1) / B4"
"(B1) / (B4) * (B1 + B4)"
"(B1) / (B4) * (B1 - B4)"
"(B1) / (B4) * (B1) * (B4)"
"(B1) / (B4) * (B1) / (B4)"
"(B1) / (B4) / (B1 + B4)"
"(B1) / (B4) / (B1 - B4)"
"(B1) / (B4) / (B1) * (B4)"
"(B1) / (B4) / (B1) / (B4)"
"(B4 + B1)"
"(B4 + B1) + (B4 + B1)"
"(B4 + B1) + (B4 - B1)"
"(B4 + B1) + (B4) * (B1)"
"(B4 + B1) + (B4) / (B1)"
"(B4 + B1) - (B4 + B1)"
"(B4 + B1) - (B4 - B1)"
"(B4 + B1) - (B4) * (B1)"
"(B4 + B1) - (B4) / (B1)"
"(B4 + B1) * (B4 + B1)"
"(B4 + B1) * (B4 - B1)"
"(B4 + B1) * (B4) * (B1)"
"(B4 + B1) * (B4) / (B1)"
"(B4 + B1) / (B4 + B1)"
"(B4 + B1) / (B4 - B1)"
"(B4 + B1) / (B4) * (B1)"
"(B4 + B1) / (B4) / (B1)"
"(B4 - B1)"
"(B4 - B1) + (B4 + B1)"
"(B4 - B1) + (B4 - B1)"
"(B4 - B1) + (B4) * (B1)"
"(B4 - B1) + (B4) / (B1)"
"(B4 - B1) - (B4 + B1)"
"(B4 - B1) - (B4 - B1)"
"(B4 - B1) - (B4) * (B1)"
"(B4 - B1) - (B4) / (B1)"
"(B4 - B1) * (B4 + B1)"
"(B4 - B1) * (B4 - B1)"
"(B4 - B1) * (B4) * (B1)"
"(B4 - B1) * (B4) / (B1)"
"(B4 - B1) / (B4 + B1)"
"(B4 - B1) / (B4 - B1)"
"(B4 - B1) / (B4) * (B1)"
"(B4 - B1) / (B4) / (B1)"
"(B4) * (B1)"
"B4 * (B1 + B4) + B1"
"B4 * (B1 + B4) - B1"
"B4 * (B1 + B4) * B1"
"B4 * (B1 + B4) / B1"
"B4 * (B1 - B4) + B1"
"B4 * (B1 - B4) - B1"
"B4 * (B1 - B4) * B1"
"B4 * (B1 - B4) / B1"
"(B4) * (B1) * (B4 + B1)"
"(B4) * (B1) * (B4 - B1)"
"(B4) * (B1) * (B4) * (B1)"
"(B4) * (B1) * (B4) / (B1)"
"(B4) * (B1) / (B4 + B1)"
"(B4) * (B1) / (B4 - B1)"
"(B4) * (B1) / (B4) * (B1)"
"(B4) * (B1) / (B4) / (B1)"
"(B4) / (B1)"
"B4 / (B1 + B4) + B1"
"B4 / (B1 + B4) - B1"
"B4 / (B1 + B4) * B1"
"B4 / (B1 + B4) / B1"
"B4 / (B1 - B4) + B1"
"B4 / (B1 - B4) - B1"
"B4 / (B1 - B4) * B1"
"B4 / (B1 - B4) / B1"
"(B4) / (B1) * (B4 + B1)"
"(B4) / (B1) * (B4 - B1)"
"(B4) / (B1) * (B4) * (B1)"
"(B4) / (B1) * (B4) / (B1)"
"(B4) / (B1) / (B4 + B1)"
"(B4) / (B1) / (B4 - B1)"
"(B4) / (B1) / (B4) * (B1)"
"(B4) / (B1) / (B4) / (B1)"
"(B2 + B3)"
"(B2 + B3) + (B2 + B3)"
"(B2 + B3) + (B2 - B3)"
"(B2 + B3) + (B2) * (B3)"
"(B2 + B3) + (B2) / (B3)"
"(B2 + B3) - (B2 + B3)"
"(B2 + B3) - (B2 - B3)"
"(B2 + B3) - (B2) * (B3)"
"(B2 + B3) - (B2) / (B3)"
"(B2 + B3) * (B2 + B3)"
"(B2 + B3) * (B2 - B3)"
"(B2 + B3) * (B2) * (B3)"
"(B2 + B3) * (B2) / (B3)"
"(B2 + B3) / (B2 + B3)"
"(B2 + B3) / (B2 - B3)"
"(B2 + B3) / (B2) * (B3)"
"(B2 + B3) / (B2) / (B3)"
"(B2 - B3)"
"(B2 - B3) + (B2 + B3)"
"(B2 - B3) + (B2 - B3)"
"(B2 - B3) + (B2) * (B3)"
